NFO,OPTIDX,NIFTY,PE,0,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,17300,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,0,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,18150,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,0,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,17300,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,0,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,18150,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,0,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,17300,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,0,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,18150,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,0,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,17300,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,0,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,18150,27-APR-2023,FA74029,BUY,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,-200,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,17500,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,200,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,17950,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,-200,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,17500,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,200,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,17950,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,-200,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,17500,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,200,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,17950,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,-200,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,PE,17500,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,200,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
NFO,OPTIDX,NIFTY,CE,17950,27-APR-2023,FA74029,SELL,C,NRML,MKT,DAY,0,1800,0,0,09:23,TRUE,5
